REACTANT_1,REACTANT_2,CATALYST,ACTIVITY
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,0.3143569375386678
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,0.3143569375386678
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,0.4882613538326688
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,0.3281348620123148
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC=C)C1=C2C=CC=CC2=NC=C1,1.9649095678249637
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,0.3143569375386678
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,1.2692189654273385
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,0.34159962456509735
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,0.28944655112793705
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,0.7319230127375428
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC(Br)=C)C1=C2C=CC=CC2=NC=C1,1.6302017281331171
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.26344257520928166
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,1.2692189654273385
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.4076675096255055
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,1.53260805103792
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.4194574320658325
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.6664353478110076
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,1.9649095678249637
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.3038090497045559
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,1.3705878698454266
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.19081001101593775
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.5751127777574899
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,0.6035896557640847
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC=C(C=C1)C(F)(F)F)C1=C2C=CC=CC2=NC=C1,1.4075021214692987
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.9823741929651749
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.3281348620123148
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.3802496787544891
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,0.5884262380364328
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC=C(F)C(F)=C1F)C1=C2C=CC=CC2=NC=C1,1.0279677646472567
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.21602335015635915
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.2784414535524571
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.6664353478110076
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.3802496787544891
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,0.6035896557640847
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCCC1=CC(F)=C(F)C(F)=C1)C1=C2C=CC=CC2=NC=C1,1.3016886828650613
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,0.4076675096255055
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,1.1528039714394525
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,0.2519388341425699
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,0.5591925554494515
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,0.3925922928955228
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,0.28944655112793705
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCC(=O)CC)C1=C2C=CC=CC2=NC=C1,1.7443564650156484
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC=C)CC2CC)C1=C2C=CC=CC2=NC=C1,0.5308640966643415
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=CC=CC=C1)CC2CC)C1=C2C=CC=CC2=NC=C1,0.6348319058703563
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=CC=C(C=C1)C(F)(F)F)CC2CC)C1=C2C=CC=CC2=NC=C1,0.3038090497045559
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=CC=C(F)C(F)=C1F)CC2CC)C1=C2C=CC=CC2=NC=C1,0.5591925554494515
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=CC(F)=C(F)C(F)=C1)CC2CC)C1=C2C=CC=CC2=NC=C1,0.4589670062464025
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=C3C=CC=CC3=CC=C1)CC2CC)C1=C2C=CC=CC2=NC=C1,0.4076675096255055
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCCCCC(=O)COC(C1CC2CC[N+]1(CCC1=C3C=CC=CC3=CC3=CC=CC=C13)CC2CC)C1=C2C=CC=CC2=NC=C1,1.1259693688042902
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,0.34159962456509735
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,1.1259693688042902
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,0.2519388341425699
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,0.5011127048448109
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,0.3802496787544891
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,0.5161751445903324
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCC(=O)CC(C)C)C1=C2C=CC=CC2=NC=C1,1.4075021214692987
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC=C)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.3143569375386678
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=CC=C3)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.8212741199068081
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(C=C3)C(F)(F)F)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.4076675096255055
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC=C(F)C(F)=C3F)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.36764443619288495
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=CC(F)=C(F)C(F)=C3)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.35476514526279934
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC=C3)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,0.5884262380364328
C(OC(CN=C(C1=CC=CC=C1)C2=CC=CC=C2)=O)(C)(C)C,C(CBr)(Br)=C,CCC1C[N+]2(CCC3=C4C=CC=CC4=CC4=CC=CC=C34)CCC1CC2C(OCC(=O)C1=CC=CC=C1)C1=C2C=CC=CC2=NC=C1,1.238538739907087
